#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.009449e-02       6.109586e-06       5.154487e-03       7.974324e-04       2.546701e-04       5.464042e-04
         100       1.755023e-01       9.622822e-03       8.537421e-02       2.100766e+00       4.249412e-02       3.441018e-01
         200       6.726257e-02       5.068781e-03       3.825755e-02       5.104800e-01       4.224749e-02       1.861111e-01
         300       2.022948e-01       5.415820e-03       1.028233e-01       1.834925e+00       3.671583e-02       3.515359e-01
         400       1.432970e-01       2.738559e-03       7.266289e-02       2.096427e+00       1.976016e-02       2.639737e-01
         500       1.911697e-01       1.806165e-02       9.553569e-02       1.054023e+00       4.463258e-02       3.715850e-01
         600       4.945556e-01       6.089066e-02       2.773589e-01       2.951503e+00       6.329073e-02       7.796464e-01
         700       5.270819e-01       2.061548e-02       2.731160e-01       2.363428e+00       1.042915e-01       8.298885e-01
         800       4.574358e-01       3.439984e-02       2.630264e-01       2.324270e+00       7.139191e-02       7.667070e-01
         900       5.891844e-01       4.478387e-02       3.142565e-01       2.713042e+00       8.111817e-02       9.833953e-01
        1000       3.989058e-01       2.979565e-02       2.161888e-01       2.323899e+00       9.478804e-02       6.461179e-01
        1100       4.970676e-01       7.937572e-03       2.782799e-01       1.789792e+00       1.318282e-01       7.958248e-01
        1200       6.551965e-01       2.074928e-02       3.466809e-01       2.859912e+00       7.125263e-02       9.034912e-01
        1300       3.163012e-01       8.239518e-03       1.771583e-01       1.357784e+00       9.009915e-02       5.285191e-01
        1400       3.194938e-01       3.274382e-02       1.657068e-01       1.899697e+00       5.811101e-02       5.041889e-01
        1500       3.599551e-01       2.402808e-02       1.918603e-01       1.940993e+00       1.131544e-01       5.902484e-01
        1600       4.066078e-01       3.351987e-02       2.155032e-01       1.609173e+00       7.299285e-02       6.763893e-01
        1700       5.199750e-01       1.312535e-02       2.454546e-01       2.745483e+00       1.364166e-01       8.541757e-01
        1800       3.731454e-01       2.597525e-02       1.848144e-01       2.759716e+00       5.032919e-02       5.515873e-01
        1900       4.123429e-01       7.995592e-03       2.012570e-01       1.670877e+00       1.137355e-01       5.980443e-01
        2000       6.656167e-01       2.687168e-02       3.528176e-01       3.216507e+00       7.904817e-02       1.028417e+00
        2100       2.487440e-01       1.194670e-02       1.279444e-01       1.606547e+00       7.570126e-02       4.773067e-01
        2200       6.271718e-01       1.539274e-02       3.198678e-01       1.724100e+00       7.861092e-02       8.137414e-01
        2300       7.233672e-01       2.250123e-02       3.866022e-01       2.403193e+00       1.287601e-01       1.050802e+00
        2400       6.311609e-01       1.871711e-02       3.341682e-01       2.204937e+00       1.118920e-01       9.095424e-01
        2500       4.836529e-01       3.200466e-02       2.570502e-01       1.647779e+00       1.734754e-01       7.298584e-01
        2600       5.879727e-01       2.526746e-02       2.955000e-01       2.210501e+00       6.194408e-02       8.864843e-01
        2700       4.043378e-01       2.085995e-02       2.211885e-01       2.155818e+00       9.306296e-02       6.569498e-01
        2800       4.732998e-01       2.160752e-02       2.659315e-01       2.804885e+00       1.782783e-01       8.283605e-01
        2900       2.510468e-01       6.602738e-03       1.432284e-01       2.241473e+00       7.189270e-02       4.704994e-01
        3000       3.353434e-01       3.979778e-02       1.871702e-01       1.639349e+00       7.176471e-02       5.699374e-01
        3100       4.145599e-01       2.080095e-02       2.351415e-01       1.788705e+00       1.004450e-01       7.390148e-01
        3200       3.776959e-01       1.772050e-02       1.995468e-01       2.106758e+00       2.801940e-02       6.667907e-01
        3300       4.811971e-01       1.989404e-02       2.490711e-01       2.824866e+00       7.504358e-02       7.385320e-01
        3400       6.227140e-01       2.556723e-02       2.978070e-01       3.070539e+00       7.455941e-02       8.478673e-01
        3500       4.037320e-01       1.877395e-02       2.259563e-01       1.899273e+00       6.786493e-02       6.322092e-01
        3600       3.696051e-01       1.482499e-02       2.111275e-01       2.146612e+00       9.191768e-02       6.451974e-01
        3700       5.189007e-01       5.033706e-02       2.721014e-01       2.341023e+00       6.964963e-02       7.821558e-01
        3800       5.241718e-01       2.823707e-02       2.815837e-01       2.017333e+00       7.368182e-02       7.629720e-01
        3900       4.481132e-01       2.993170e-02       2.655661e-01       2.030067e+00       8.665676e-02       7.362239e-01
        4000       3.058077e-01       2.982155e-02       1.617738e-01       1.626935e+00       6.889520e-02       4.969848e-01
        4100       4.720822e-01       2.182279e-02       2.401965e-01       2.500239e+00       8.159894e-02       7.215561e-01
        4200       2.803977e-01       6.150020e-02       1.575491e-01       2.050436e+00       5.197396e-02       5.508844e-01
        4300       3.066650e-01       5.746657e-03       1.622836e-01       2.055050e+00       1.069559e-01       6.085450e-01
        4400       4.859656e-01       8.923967e-03       2.581394e-01       2.085547e+00       9.165302e-02       8.109302e-01
        4500       2.943488e-01       4.568423e-02       1.616724e-01       2.136404e+00       6.793757e-02       5.010726e-01
        4600       4.271028e-01       1.393884e-02       2.239767e-01       2.435453e+00       2.950863e-02       7.546351e-01
        4700       4.641332e-01       7.241451e-02       2.366564e-01       2.439711e+00       1.095334e-01       7.013830e-01
        4800       4.508109e-01       1.403297e-02       2.477876e-01       2.571545e+00       1.220532e-01       7.189127e-01
        4900       5.751225e-01       2.530006e-02       3.180195e-01       2.759492e+00       3.334080e-02       9.150416e-01
        5000       3.446330e-01       4.151010e-02       1.774709e-01       2.024219e+00       4.472580e-02       6.107168e-01
        5100       5.131720e-01       3.128103e-02       2.878020e-01       2.633431e+00       1.274537e-01       8.415637e-01
        5200       5.062489e-01       2.694301e-02       2.760882e-01       1.704331e+00       1.092447e-01       7.455304e-01
        5300       4.392170e-01       4.811253e-02       2.507473e-01       1.942677e+00       4.117921e-02       7.335169e-01
        5400       4.137128e-01       3.440689e-02       2.067785e-01       2.095680e+00       6.953679e-02       6.470197e-01
        5500       4.595724e-01       3.135436e-02       2.507174e-01       2.986265e+00       1.049862e-01       7.841494e-01
        5600       4.841981e-01       3.536764e-03       2.353312e-01       2.203724e+00       1.009927e-01       7.210464e-01
        5700       3.498801e-01       2.823319e-02       1.898227e-01       1.569423e+00       8.755145e-02       5.589465e-01
        5800       4.748146e-01       1.412034e-02       2.615586e-01       2.065917e+00       9.689039e-02       7.979315e-01
        5900       3.743437e-01       8.956081e-03       1.933591e-01       2.095003e+00       5.721397e-02       6.772288e-01
        6000       4.455530e-01       2.409580e-02       2.506496e-01       2.124708e+00       7.546762e-02       7.564368e-01
        6100       4.540519e-01       2.123397e-02       2.312672e-01       2.184327e+00       1.082649e-01       6.813025e-01
        6200       3.844188e-01       2.407048e-02       1.959113e-01       1.731776e+00       8.643194e-02       5.423434e-01
        6300       3.020568e-01       1.414995e-02       1.682226e-01       1.679456e+00       6.906253e-02       5.288080e-01
        6400       2.060525e-01       9.573341e-03       1.084599e-01       1.469770e+00       5.796839e-02       3.917155e-01
        6500       4.091579e-01       2.204433e-02       1.995583e-01       1.736500e+00       4.374035e-02       6.296417e-01
