#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        6000       3.686426e-02       5.709405e-03       2.165009e-02       3.685142e-01       1.545325e-02       1.145160e-01
        6100       1.175269e-01       1.148032e-02       6.409360e-02       1.421744e+00       1.857181e-02       2.375205e-01
        6200       3.593031e-02       3.723106e-03       2.079711e-02       5.421027e-01       1.252902e-02       9.559089e-02
        6300       3.693369e-02       1.525425e-03       1.929207e-02       2.740821e-01       2.247439e-02       9.343980e-02
        6400       1.939627e-02       1.123623e-03       1.067110e-02       1.785642e-01       9.026545e-03       6.508345e-02
        6500       3.404808e-02       1.662813e-03       1.987559e-02       5.870120e-01       1.227452e-02       8.065539e-02
        6600       2.750809e-02       6.618091e-03       1.513662e-02       2.944093e-01       1.082112e-02       6.859533e-02
        6700       7.776074e-02       2.834438e-03       4.121337e-02       9.435311e-01       8.857290e-03       1.308354e-01
        6800       3.887108e-02       3.390873e-03       2.243327e-02       4.994994e-01       1.327186e-02       1.017720e-01
        6900       2.267313e-02       4.328168e-03       1.287274e-02       2.876867e-01       1.039877e-02       6.325229e-02
        7000       6.800814e-02       1.394618e-03       3.631836e-02       7.876320e-01       1.663165e-02       1.424610e-01
        7100       1.050486e-01       6.072230e-03       5.748823e-02       1.452519e+00       1.958229e-02       2.063416e-01
        7200       3.792015e-02       2.257690e-03       1.814266e-02       3.311948e-01       1.496711e-02       8.996112e-02
        7300       2.541905e-02       3.415007e-04       1.374104e-02       1.799332e-01       9.666346e-03       4.969337e-02
        7400       1.242081e-01       2.053448e-03       5.540499e-02       9.527504e-01       1.559391e-02       2.292403e-01
        7500       5.620952e-02       1.235866e-03       3.346099e-02       6.351678e-01       2.031462e-02       1.199812e-01
        7600       2.344011e-02       1.678079e-03       1.121587e-02       2.574640e-01       1.024301e-02       6.941982e-02
        7700       4.419078e-02       3.521111e-03       2.436725e-02       3.908813e-01       1.695092e-02       1.206314e-01
        7800       3.581594e-02       1.218842e-03       1.960120e-02       3.083385e-01       1.174206e-02       7.787802e-02
        7900       3.642072e-02       3.388823e-03       2.324439e-02       4.139091e-01       1.148288e-02       9.608790e-02
        8000       6.957126e-02       4.843870e-03       3.775080e-02       1.205628e+00       5.025027e-03       1.141638e-01
        8100       2.284652e-02       2.334672e-03       1.184784e-02       1.707108e-01       8.746680e-03       4.236051e-02
        8200       1.802082e-02       4.898627e-04       9.407673e-03       1.691082e-01       3.242211e-03       3.606880e-02
        8300       3.656840e-02       1.172446e-03       1.832882e-02       3.831061e-01       1.527563e-02       9.526792e-02
        8400       8.215638e-02       6.468173e-03       4.372160e-02       9.090690e-01       7.105732e-03       1.472880e-01
        8500       2.341357e-02       4.212655e-03       1.344155e-02       1.735442e-01       1.129250e-02       5.520631e-02
        8600       2.693176e-02       1.396787e-03       1.223394e-02       2.028980e-01       1.554098e-02       7.369509e-02
        8700       3.971275e-02       1.579977e-03       2.267572e-02       4.469283e-01       2.551101e-02       1.185378e-01
