#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.009449e-02       6.109586e-06       5.154487e-03       7.974324e-04       2.546701e-04       5.464042e-04
         100       8.424961e-02       3.484328e-03       4.230682e-02       1.055422e+00       2.490591e-02       1.732633e-01
         200       2.778269e-02       9.183261e-04       1.439504e-02       2.748261e-01       1.243196e-02       1.080003e-01
         300       7.694757e-02       4.673221e-03       4.281704e-02       8.566002e-01       1.469789e-02       1.764497e-01
         400       6.776371e-02       1.022857e-03       3.535460e-02       1.135223e+00       1.321870e-02       1.404102e-01
         500       1.069660e-01       1.160201e-02       5.377450e-02       6.696892e-01       2.300478e-02       2.334224e-01
         600       2.749713e-01       3.761718e-02       1.549143e-01       2.335438e+00       2.303787e-02       5.108688e-01
         700       2.328555e-01       2.098523e-02       1.250107e-01       1.741801e+00       6.823715e-02       4.671301e-01
         800       2.818032e-01       1.725517e-02       1.582957e-01       2.243800e+00       4.527745e-02       5.374184e-01
         900       3.189956e-01       1.978955e-02       1.742231e-01       1.968973e+00       6.434373e-02       6.203504e-01
        1000       2.218394e-01       5.075258e-03       1.082403e-01       1.806125e+00       6.484608e-02       3.982598e-01
        1100       3.568420e-01       9.445051e-03       1.923012e-01       1.865609e+00       4.907449e-02       5.590743e-01
        1200       4.889048e-01       3.776569e-02       2.664731e-01       1.963719e+00       7.751159e-02       8.714210e-01
        1300       1.899968e-01       1.096166e-02       9.835576e-02       1.751443e+00       3.903476e-02       3.542040e-01
        1400       1.267434e-01       1.849283e-02       6.959651e-02       8.911580e-01       5.014023e-02       2.864302e-01
        1500       1.850627e-01       1.101119e-02       9.473082e-02       1.613632e+00       6.222213e-02       3.371928e-01
        1600       2.247812e-01       1.414630e-02       1.198600e-01       1.823540e+00       7.923639e-02       4.430400e-01
        1700       1.517889e-01       1.413045e-02       8.614934e-02       1.679885e+00       4.742929e-02       3.073147e-01
        1800       2.491436e-01       4.813185e-03       1.184240e-01       1.814315e+00       4.764607e-02       4.119297e-01
