#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.009449e-02       6.109586e-06       5.154487e-03       7.974324e-04       2.546701e-04       5.464042e-04
         100       4.955054e-02       3.814078e-03       2.545554e-02       6.292602e-01       2.026844e-02       1.126204e-01
         200       1.940347e-02       1.183802e-03       9.626057e-03       2.133657e-01       1.011312e-02       9.140602e-02
         300       4.120783e-02       4.533950e-03       2.434533e-02       5.078716e-01       1.285737e-02       1.104360e-01
         400       3.092951e-02       1.356517e-03       1.615723e-02       5.182488e-01       1.010955e-02       8.172832e-02
         500       7.334809e-02       7.984007e-03       3.698538e-02       5.035914e-01       1.782932e-02       1.601124e-01
         600       1.758281e-01       2.116740e-02       9.545136e-02       1.505768e+00       1.087613e-02       3.395592e-01
         700       1.611372e-01       1.271497e-02       8.236811e-02       1.332322e+00       3.552127e-02       3.163098e-01
         800       1.737688e-01       6.988225e-03       9.401704e-02       1.887940e+00       5.393983e-02       3.590100e-01
         900       1.984851e-01       2.113839e-02       1.135792e-01       2.086260e+00       5.100819e-02       4.186524e-01
        1000       1.457380e-01       2.085339e-03       7.580786e-02       1.613029e+00       2.658804e-02       3.007722e-01
        1100       2.811902e-01       4.764420e-03       1.425696e-01       1.748183e+00       5.105162e-02       4.442492e-01
        1200       3.047763e-01       2.228671e-02       1.606956e-01       1.805960e+00       8.813416e-02       5.961190e-01
        1300       7.696824e-02       8.668509e-03       4.369812e-02       8.864726e-01       1.845699e-02       1.745049e-01
        1400       1.177970e-01       9.312219e-03       6.248678e-02       1.526627e+00       4.581295e-02       2.317879e-01
        1500       1.971941e-01       4.654555e-03       9.027399e-02       1.378142e+00       3.952699e-02       3.425133e-01
        1600       8.754060e-02       4.869672e-03       4.587103e-02       5.959297e-01       3.864814e-02       2.093933e-01
        1700       1.370212e-01       7.105667e-03       7.328320e-02       2.013872e+00       3.108198e-02       2.790067e-01
        1800       1.735086e-01       1.264593e-02       9.180061e-02       1.858019e+00       5.055131e-02       3.539057e-01
        1900       2.276228e-01       6.902594e-03       1.218618e-01       1.648266e+00       3.138809e-02       4.123484e-01
        2000       9.110367e-02       8.969150e-03       4.895310e-02       9.448232e-01       2.441841e-02       1.915792e-01
        2100       3.651099e-01       1.936359e-02       1.928281e-01       1.683716e+00       6.989736e-02       6.296417e-01
        2200       2.348599e-01       5.830796e-03       1.262931e-01       1.929896e+00       6.674542e-02       4.429663e-01
        2300       2.898183e-01       4.396970e-03       1.587716e-01       2.106104e+00       2.169854e-02       4.952203e-01
        2400       2.677513e-01       8.945121e-04       1.323848e-01       2.063011e+00       1.083302e-01       4.666501e-01
        2500       4.125410e-01       1.252077e-02       1.891650e-01       2.441379e+00       6.177869e-02       6.134052e-01
        2600       2.630545e-01       1.143434e-02       1.319290e-01       2.188095e+00       8.461275e-02       4.918349e-01
        2700       1.326245e-01       6.267857e-03       6.585427e-02       1.188904e+00       4.051939e-02       2.734386e-01
        2800       2.429638e-01       1.396319e-02       1.268514e-01       1.943187e+00       3.526600e-02       4.591306e-01
        2900       2.656550e-01       9.842795e-03       1.351889e-01       2.178481e+00       1.245409e-02       4.437185e-01
        3000       2.054925e-01       2.910260e-02       1.133448e-01       2.668571e+00       2.921896e-02       4.125970e-01
        3100       1.343580e-01       1.860955e-02       7.097892e-02       1.670501e+00       1.150289e-02       2.397415e-01
        3200       2.289601e-01       3.920223e-02       1.345045e-01       1.491632e+00       7.758271e-02       4.362345e-01
        3300       1.091773e-01       1.892258e-02       5.533190e-02       9.212512e-01       4.982292e-02       2.337394e-01
        3400       1.085833e-01       2.819215e-03       5.477530e-02       1.406658e+00       2.794182e-02       2.309150e-01
        3500       1.191273e-01       9.907751e-03       6.655126e-02       1.723674e+00       3.006197e-02       2.739082e-01
        3600       3.808429e-01       2.543000e-02       1.743002e-01       2.312224e+00       4.457847e-02       6.193276e-01
        3700       2.902124e-01       1.330776e-02       1.351321e-01       1.843176e+00       5.642517e-02       5.018155e-01
        3800       2.525791e-01       2.168116e-03       1.357245e-01       1.954520e+00       3.047241e-02       4.256083e-01
        3900       1.706809e-01       8.287384e-03       8.341817e-02       1.827860e+00       5.797384e-02       3.182737e-01
        4000       1.598239e-01       3.203966e-02       9.244718e-02       1.644898e+00       6.320680e-02       3.817827e-01
        4100       1.710433e-01       9.029955e-03       9.535060e-02       1.202835e+00       5.847484e-02       3.324076e-01
        4200       2.386549e-01       7.175900e-03       1.158245e-01       1.639241e+00       5.518207e-02       4.447009e-01
        4300       8.010329e-02       2.391233e-03       4.288442e-02       8.858682e-01       2.168642e-02       1.841676e-01
        4400       1.687068e-01       1.122439e-02       8.300101e-02       9.155442e-01       2.062039e-02       2.963752e-01
        4500       7.279300e-02       3.637512e-03       3.527363e-02       7.039443e-01       8.351043e-02       2.186452e-01
        4600       2.557635e-01       1.037455e-02       1.334156e-01       2.195520e+00       4.170946e-02       4.560851e-01
        4700       1.184602e-01       8.750128e-03       6.143457e-02       9.332044e-01       2.497171e-02       2.440929e-01
        4800       2.268130e-01       4.757618e-03       1.077852e-01       1.984810e+00       2.381087e-02       3.918304e-01
        4900       1.458727e-01       1.362432e-02       6.961110e-02       1.084238e+00       2.111787e-02       2.734676e-01
        5000       3.096115e-01       1.500264e-02       1.586069e-01       2.971284e+00       5.587282e-02       5.127201e-01
        5100       2.698422e-01       2.228534e-02       1.580015e-01       1.892684e+00       6.060667e-02       4.407852e-01
        5200       3.933036e-01       8.531357e-03       1.855816e-01       2.964693e+00       5.767815e-02       5.862652e-01
        5300       2.139922e-01       6.694962e-03       1.017466e-01       1.743903e+00       2.870343e-02       3.978000e-01
        5400       4.859086e-01       1.255600e-02       2.489297e-01       2.693121e+00       5.559937e-02       7.673936e-01
        5500       3.243104e-01       2.517986e-02       1.742735e-01       2.852084e+00       5.648807e-02       5.817735e-01
        5600       1.691614e-01       3.320408e-03       9.129806e-02       1.538851e+00       4.749514e-02       3.586739e-01
        5700       1.556823e-01       5.395921e-03       8.642218e-02       2.804016e+00       1.501702e-02       3.135327e-01
        5800       2.394680e-01       1.731842e-02       1.175484e-01       2.437654e+00       3.649177e-02       4.386211e-01
        5900       2.906782e-01       3.119382e-03       1.403777e-01       2.152304e+00       3.700602e-02       5.034700e-01
        6000       1.106891e-01       6.900589e-03       6.288563e-02       1.496129e+00       4.172492e-02       2.536833e-01
        6100       1.808349e-01       1.283348e-02       1.021093e-01       2.212696e+00       5.194241e-02       3.554475e-01
        6200       9.858870e-02       2.849551e-02       5.747289e-02       1.219721e+00       2.733329e-02       2.452095e-01
        6300       2.791146e-01       2.820869e-02       1.440129e-01       1.991544e+00       5.041138e-02       4.787693e-01
        6400       1.998678e-01       1.303227e-02       1.131283e-01       1.798000e+00       3.793151e-02       4.128311e-01
        6500       2.417675e-01       4.475143e-02       1.416944e-01       1.788588e+00       2.972297e-02       4.723734e-01
        6600       2.358648e-01       1.213343e-02       1.267444e-01       1.786603e+00       8.071702e-02       4.189576e-01
        6700       3.230612e-01       2.231959e-02       1.708676e-01       2.249737e+00       1.052384e-01       5.776845e-01
        6800       3.852628e-01       4.966341e-02       1.985079e-01       2.052387e+00       9.377870e-02       7.144554e-01
        6900       2.623581e-01       1.541347e-02       1.216850e-01       1.705671e+00       4.909115e-02       4.370432e-01
        7000       2.928391e-01       1.391571e-02       1.507802e-01       2.122249e+00       3.654536e-02       4.852749e-01
        7100       1.344854e-01       1.431512e-02       7.301890e-02       1.598099e+00       3.272417e-02       2.873916e-01
        7200       3.530726e-01       9.674200e-03       1.666867e-01       1.905741e+00       5.966720e-02       5.957347e-01
        7300       1.498437e-01       7.480693e-03       8.144078e-02       1.748814e+00       3.198248e-02       2.900479e-01
        7400       2.273990e-01       3.955268e-02       1.220344e-01       2.094092e+00       2.240816e-02       4.314705e-01
        7500       1.721568e-01       3.892466e-03       8.463587e-02       1.572708e+00       2.621143e-02       3.046809e-01
        7600       4.504245e-02       5.864990e-03       2.649211e-02       3.768847e-01       1.587867e-02       1.140311e-01
        7700       3.033725e-01       9.326786e-03       1.570528e-01       1.942731e+00       7.717866e-02       5.094918e-01
        7800       1.572978e-01       2.069070e-02       9.122221e-02       1.611964e+00       5.194628e-02       3.201244e-01
        7900       1.149264e-01       2.155891e-02       6.169955e-02       8.643710e-01       2.889397e-02       2.601973e-01
        8000       2.274510e-01       2.245486e-03       1.155420e-01       2.001689e+00       3.679583e-02       4.348496e-01
        8100       2.009855e-01       1.382556e-02       1.108476e-01       1.995848e+00       4.428915e-02       3.996650e-01
        8200       2.240096e-01       2.416477e-02       1.118023e-01       2.154463e+00       2.939578e-02       3.742843e-01
        8300       2.678558e-01       2.481552e-02       1.452583e-01       2.086205e+00       4.903014e-02       4.501982e-01
        8400       2.894881e-01       2.914842e-02       1.528117e-01       1.846939e+00       7.136681e-02       5.030162e-01
        8500       2.088114e-01       1.768258e-02       1.100647e-01       2.026543e+00       5.138819e-02       4.030626e-01
        8600       1.558070e-01       1.032889e-02       7.987599e-02       9.432383e-01       1.556725e-02       2.799333e-01
        8700       1.674982e-01       8.890620e-03       8.327944e-02       1.773237e+00       6.006013e-02       3.390520e-01
        8800       7.832911e-02       9.758531e-03       5.099281e-02       6.446529e-01       3.816845e-02       2.010276e-01
        8900       7.742292e-02       7.320325e-03       4.335057e-02       9.761956e-01       3.569774e-02       2.033394e-01
