#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        6000       5.261317e-01       3.378303e-03       2.858018e-01       2.322943e+00       9.929253e-02       8.492950e-01
        6100       3.229032e-01       2.451921e-02       1.737134e-01       1.874844e+00       7.081397e-02       5.161550e-01
        6200       3.672734e-01       1.618666e-02       2.016618e-01       3.221284e+00       3.559668e-02       6.631174e-01
        6300       3.383748e-01       2.219812e-02       1.894767e-01       2.137590e+00       7.056915e-02       5.888103e-01
        6400       4.496162e-01       1.624491e-02       2.493430e-01       2.382535e+00       1.099070e-01       7.323064e-01
        6500       3.761900e-01       9.136575e-03       1.922210e-01       2.004767e+00       1.006509e-01       6.053089e-01
        6600       2.941517e-01       4.637915e-02       1.530066e-01       1.929879e+00       5.671771e-02       5.545647e-01
        6700       4.791992e-01       3.419260e-02       2.356921e-01       2.472280e+00       1.008666e-01       7.702770e-01
        6800       3.873205e-01       3.064179e-02       2.152317e-01       2.193163e+00       1.052011e-01       6.278982e-01
        6900       4.186463e-01       2.989811e-02       2.141905e-01       2.976608e+00       7.195374e-02       7.479043e-01
        7000       2.913189e-01       4.279540e-02       1.680661e-01       3.199794e+00       7.289898e-02       5.929191e-01
        7100       2.499773e-01       2.312286e-03       1.402914e-01       2.279431e+00       3.246271e-02       5.110381e-01
        7200       3.018754e-01       1.045497e-02       1.693923e-01       2.013868e+00       3.832973e-02       5.715626e-01
        7300       3.223582e-01       3.777116e-03       1.600768e-01       1.684829e+00       1.017834e-01       5.525545e-01
        7400       3.297599e-01       2.878248e-02       1.941891e-01       2.447104e+00       8.020503e-02       6.226868e-01
        7500       2.374527e-01       3.699698e-02       1.309811e-01       2.385147e+00       5.184506e-02       4.394474e-01
        7600       2.927280e-01       2.779743e-02       1.565219e-01       2.481438e+00       3.385772e-02       5.332411e-01
        7700       6.123695e-01       8.551667e-03       3.359017e-01       2.844326e+00       5.189512e-02       9.643838e-01
        7800       4.571169e-01       2.542714e-02       2.339204e-01       2.266591e+00       6.201313e-02       6.323725e-01
        7900       5.047164e-01       2.399163e-02       2.479333e-01       2.860527e+00       5.998335e-02       8.461993e-01
        8000       4.354307e-01       3.168378e-02       2.098292e-01       1.776409e+00       7.314264e-02       6.406436e-01
        8100       4.084322e-01       4.740647e-03       2.175064e-01       1.960450e+00       1.158595e-01       7.215780e-01
        8200       5.916116e-01       1.861873e-02       3.218927e-01       2.810985e+00       6.795379e-02       9.732587e-01
        8300       2.571643e-01       9.301257e-03       1.520864e-01       1.883629e+00       7.269303e-02       5.395722e-01
        8400       2.994432e-01       2.504207e-03       1.491877e-01       2.290023e+00       3.866052e-02       4.960831e-01
        8500       3.331666e-01       2.497798e-02       1.708958e-01       2.223192e+00       5.352537e-02       4.920876e-01
        8600       1.381142e-01       2.425437e-02       7.970503e-02       1.633102e+00       3.239930e-02       3.366900e-01
        8700       1.598763e-01       1.091609e-02       7.853127e-02       1.044434e+00       6.578450e-02       3.278872e-01
        8800       2.735134e-01       2.114316e-02       1.570533e-01       2.232359e+00       5.033635e-02       5.317652e-01
        8900       6.382580e-01       6.974722e-02       3.463806e-01       2.740560e+00       7.472302e-02       9.374822e-01
        9000       3.668468e-01       2.081445e-02       1.926356e-01       1.817983e+00       6.651428e-02       6.148019e-01
        9100       4.694528e-01       5.785342e-02       2.526540e-01       3.052473e+00       7.048097e-02       8.220356e-01
        9200       5.251338e-01       3.859479e-02       2.614809e-01       2.060024e+00       9.848409e-02       8.317018e-01
        9300       3.896106e-01       3.580001e-02       2.047590e-01       1.903528e+00       8.626065e-02       6.065106e-01
        9400       2.943137e-01       3.257251e-02       1.456279e-01       1.492584e+00       3.371080e-02       4.726439e-01
        9500       3.163038e-01       4.575754e-03       1.501421e-01       2.031327e+00       6.606005e-02       5.886791e-01
        9600       5.583278e-01       2.183818e-02       2.740156e-01       3.282062e+00       5.069873e-02       8.479003e-01
        9700       3.847680e-01       1.948168e-02       1.820457e-01       1.847755e+00       7.956677e-02       6.038068e-01
        9800       2.370628e-01       3.766539e-02       1.397090e-01       1.854512e+00       4.672701e-02       4.764645e-01
        9900       2.969215e-01       1.521751e-02       1.531826e-01       1.597161e+00       7.174943e-02       4.719623e-01
       10000       3.189158e-01       1.520610e-02       1.645266e-01       1.864994e+00       8.668478e-02       5.400802e-01
       10100       5.397911e-01       2.348589e-02       2.995272e-01       2.181430e+00       6.172084e-02       8.208974e-01
       10200       3.861389e-01       3.860683e-02       2.120797e-01       1.989874e+00       9.374001e-02       6.449449e-01
       10300       5.120540e-01       6.610283e-02       2.606619e-01       1.877073e+00       1.060648e-01       7.824589e-01
       10400       5.535303e-01       3.480973e-02       2.914209e-01       2.425531e+00       8.192281e-02       8.616462e-01
       10500       3.217042e-01       3.916409e-02       1.707814e-01       2.006646e+00       9.578134e-02       5.748115e-01
       10600       3.823643e-01       1.870675e-03       2.045179e-01       2.560815e+00       4.844949e-02       6.634093e-01
       10700       2.599084e-01       8.950270e-03       1.497522e-01       1.399500e+00       7.479765e-02       4.831244e-01
       10800       3.031141e-01       1.886750e-02       1.552382e-01       2.691614e+00       6.107012e-02       5.558190e-01
       10900       2.692622e-01       4.895139e-02       1.595711e-01       2.105301e+00       4.309881e-02       5.311665e-01
       11000       4.959844e-01       4.604366e-02       2.554368e-01       2.215943e+00       8.834917e-02       8.022123e-01
       11100       4.068004e-01       2.596675e-02       1.938246e-01       2.174863e+00       8.593335e-02       5.746537e-01
       11200       1.934114e-01       7.759462e-03       9.637469e-02       1.105620e+00       6.112093e-02       3.239646e-01
       11300       5.445996e-01       8.530819e-03       2.732862e-01       2.616403e+00       4.927677e-02       8.727769e-01
       11400       5.600681e-01       2.105736e-02       2.960847e-01       2.117391e+00       6.704527e-02       8.581628e-01
       11500       2.848979e-01       1.755044e-02       1.551112e-01       1.544739e+00       7.810537e-02       4.821672e-01
       11600       6.137089e-01       2.166635e-02       3.121186e-01       3.127562e+00       8.251659e-02       9.132011e-01
       11700       4.887520e-01       6.201869e-02       2.861295e-01       2.827487e+00       1.408469e-01       8.077487e-01
       11800       5.106452e-01       4.109944e-02       2.685820e-01       2.808769e+00       1.065215e-01       7.627967e-01
       11900       3.268059e-01       3.598730e-02       1.770640e-01       2.843006e+00       8.021627e-02       5.948331e-01
       12000       3.100595e-01       1.010725e-02       1.694852e-01       1.167224e+00       7.085644e-02       5.536282e-01
       12100       4.007850e-01       7.884447e-03       1.978223e-01       2.752642e+00       8.131683e-02       6.205861e-01
       12200       2.551827e-01       2.284870e-02       1.451055e-01       1.830169e+00       4.699910e-02       4.433496e-01
       12300       4.103353e-01       3.936581e-02       2.313977e-01       2.720093e+00       6.986241e-02       6.945301e-01
       12400       3.000074e-01       1.793164e-02       1.550384e-01       2.210534e+00       3.791246e-02       5.169834e-01
       12500       2.981707e-01       7.010200e-03       1.585276e-01       1.802177e+00       7.382257e-02       5.483519e-01
       12600       2.721721e-01       2.814601e-02       1.390258e-01       1.917468e+00       2.842925e-02       4.875416e-01
       12700       4.525141e-01       2.212249e-02       2.329804e-01       2.676314e+00       5.683784e-02       7.035513e-01
       12800       3.139732e-01       1.746765e-02       1.673161e-01       2.739729e+00       7.100168e-02       5.547266e-01
       12900       1.298804e-01       1.025085e-02       7.400866e-02       1.040110e+00       4.369121e-02       2.377434e-01
       13000       1.970696e-01       9.840979e-03       9.626319e-02       1.473074e+00       3.845762e-02       3.758141e-01
       13100       3.697122e-01       6.563096e-03       2.054624e-01       2.418402e+00       6.311527e-02       6.911907e-01
       13200       4.280444e-01       2.234591e-02       2.127083e-01       2.013136e+00       8.894666e-02       6.836186e-01
       13300       3.318313e-01       1.945225e-02       1.850913e-01       3.171708e+00       7.263214e-02       6.172890e-01
       13400       2.558009e-01       2.893836e-02       1.327391e-01       1.730057e+00       6.537416e-02       4.634396e-01
       13500       3.165836e-01       3.681237e-02       1.709007e-01       2.167862e+00       4.115225e-02       5.588995e-01
       13600       4.586568e-01       2.066632e-02       2.486350e-01       2.822802e+00       9.556353e-02       7.960841e-01
       13700       4.766241e-01       1.506511e-02       2.385732e-01       2.072759e+00       9.282735e-02       7.398114e-01
       13800       4.906623e-01       2.869969e-02       2.492691e-01       2.439038e+00       3.799374e-02       6.356592e-01
       13900       4.030681e-01       3.460109e-02       2.209793e-01       1.717519e+00       7.474730e-02       6.098603e-01
       14000       4.345344e-01       5.143779e-03       2.003239e-01       2.074194e+00       8.148056e-02       6.518884e-01
       14100       3.993067e-01       1.929737e-02       2.311710e-01       2.090225e+00       4.557669e-02       6.618056e-01
       14200       4.240289e-01       2.537641e-02       2.009190e-01       2.037086e+00       7.017625e-02       6.251531e-01
       14300       1.577676e-01       3.101696e-02       8.347960e-02       2.021977e+00       7.080926e-02       2.970539e-01
       14400       2.785229e-01       6.373576e-03       1.467473e-01       1.860748e+00       5.355059e-02       4.432890e-01
       14500       1.947712e-01       1.021102e-02       1.038963e-01       1.286288e+00       6.643972e-02       3.966396e-01
       14600       4.027953e-01       2.891502e-02       1.869517e-01       2.026331e+00       4.187373e-02       5.150494e-01
       14700       4.016870e-01       2.894833e-02       2.181637e-01       2.835392e+00       5.699485e-02       6.776806e-01
       14800       2.588217e-01       3.568795e-02       1.346127e-01       2.052142e+00       7.568467e-02       4.370231e-01
       14900       3.612750e-01       3.693913e-02       1.882247e-01       1.967062e+00       1.111390e-01       5.050694e-01
       15000       4.509246e-01       2.187761e-02       2.185748e-01       1.906133e+00       7.795833e-02       6.948747e-01
