#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.009449e-02       6.109586e-06       5.154487e-03       7.974324e-04       2.546701e-04       5.464042e-04
         100       2.852122e-02       1.656573e-03       1.479859e-02       3.068959e-01       1.409509e-02       6.623206e-02
         200       1.858695e-02       1.019836e-03       8.274124e-03       1.659759e-01       9.383123e-03       6.766904e-02
         300       2.556088e-02       3.859048e-03       1.547407e-02       2.710744e-01       9.103443e-03       6.811924e-02
         400       1.826521e-02       1.196399e-03       9.475577e-03       1.904154e-01       8.148106e-03       4.086424e-02
         500       4.591611e-02       4.933919e-03       2.344472e-02       3.011441e-01       1.365186e-02       9.668109e-02
         600       8.121970e-02       1.746011e-02       4.386547e-02       7.465713e-01       6.781942e-03       1.804783e-01
         700       9.707587e-02       3.425162e-03       4.896190e-02       8.111613e-01       3.968801e-02       2.012700e-01
         800       9.195795e-02       3.419295e-03       5.268357e-02       1.307831e+00       3.415594e-02       2.029024e-01
         900       1.045539e-01       6.028526e-03       6.032406e-02       1.270977e+00       1.741276e-02       2.227602e-01
        1000       9.415090e-02       3.777678e-03       4.816595e-02       9.012212e-01       3.245188e-02       2.064107e-01
        1100       2.058435e-01       1.515881e-02       1.020503e-01       1.643453e+00       3.996326e-02       3.450843e-01
        1200       1.189036e-01       1.021810e-02       6.139002e-02       1.015664e+00       4.979511e-02       2.795183e-01
        1300       3.983559e-02       2.930098e-03       2.386881e-02       6.377122e-01       1.432713e-02       9.773306e-02
        1400       7.243646e-02       5.898267e-03       3.636749e-02       1.079753e+00       1.204698e-02       1.752642e-01
        1500       1.219571e-01       1.262620e-03       5.435640e-02       7.924632e-01       3.504244e-02       2.355384e-01
        1600       2.388975e-02       6.858332e-03       1.453175e-02       2.311428e-01       2.975482e-02       1.016205e-01
        1700       7.653952e-02       1.911217e-03       4.357971e-02       9.746147e-01       2.142271e-02       1.613257e-01
        1800       9.652880e-02       6.788922e-03       4.938789e-02       1.382503e+00       3.653252e-02       2.133724e-01
        1900       1.230105e-01       4.137451e-03       6.503541e-02       1.277671e+00       1.821347e-02       2.090169e-01
        2000       1.706277e-01       3.106368e-03       8.704877e-02       1.106896e+00       9.869603e-03       2.821017e-01
        2100       3.343196e-01       1.426255e-02       1.619396e-01       2.344870e+00       3.648929e-02       5.639777e-01
        2200       1.546150e-01       7.797500e-03       8.304348e-02       1.758226e+00       3.148564e-02       2.778035e-01
        2300       1.601540e-01       3.014393e-03       9.079209e-02       1.547878e+00       4.312427e-02       2.947509e-01
        2400       2.244960e-01       5.952005e-03       1.048807e-01       1.338143e+00       7.310866e-02       3.462734e-01
        2500       2.972685e-01       1.300386e-02       1.397856e-01       2.880054e+00       4.599298e-02       5.198596e-01
        2600       7.392881e-02       3.377599e-03       3.567931e-02       7.849215e-01       2.874388e-02       1.459394e-01
        2700       1.005207e-01       6.841151e-03       5.136471e-02       1.363459e+00       1.809523e-02       2.122139e-01
        2800       2.026539e-01       6.221740e-03       9.740083e-02       2.250997e+00       4.066374e-02       3.926276e-01
        2900       1.769657e-01       1.332933e-02       9.383524e-02       2.680201e+00       1.760836e-02       3.185094e-01
        3000       4.262574e-02       3.604982e-03       2.441037e-02       4.621493e-01       1.299792e-02       1.204896e-01
        3100       9.416873e-02       2.679412e-02       5.364427e-02       1.409215e+00       3.149513e-02       2.020978e-01
        3200       7.874139e-02       2.305441e-03       3.798715e-02       8.576260e-01       2.633603e-02       1.791131e-01
        3300       5.771336e-02       2.140209e-03       2.805327e-02       5.698347e-01       2.713762e-02       1.551160e-01
        3400       3.836073e-02       9.347703e-03       2.273204e-02       2.896148e-01       1.948689e-02       1.231313e-01
        3500       1.209942e-01       6.322436e-03       6.176742e-02       1.728704e+00       3.889268e-02       2.448103e-01
        3600       2.105228e-01       1.179041e-02       9.765953e-02       1.552962e+00       2.423091e-02       3.654719e-01
        3700       2.094650e-01       3.169272e-02       1.077263e-01       2.175251e+00       1.643214e-02       3.916108e-01
        3800       2.064733e-01       4.560603e-03       1.061580e-01       1.832318e+00       3.393207e-02       3.609747e-01
        3900       1.449531e-01       1.214347e-02       7.935599e-02       1.851950e+00       2.412897e-02       3.015731e-01
        4000       8.850156e-02       6.877770e-03       5.219374e-02       1.369421e+00       2.918816e-02       2.050540e-01
        4100       1.348956e-01       7.211049e-03       6.893069e-02       1.170590e+00       3.442165e-02       2.646234e-01
        4200       5.237625e-02       2.831090e-03       2.637130e-02       7.573415e-01       1.074369e-02       1.323114e-01
        4300       6.743539e-02       8.304116e-03       3.987503e-02       6.611817e-01       2.827255e-02       1.772474e-01
        4400       3.884694e-02       1.250084e-03       1.966635e-02       6.560719e-01       2.052817e-02       1.372828e-01
        4500       1.604158e-01       7.078542e-03       8.731855e-02       1.809132e+00       3.829568e-02       3.341230e-01
        4600       4.398222e-02       9.380248e-03       2.329761e-02       2.781029e-01       1.602447e-02       1.122773e-01
        4700       1.877588e-01       1.628609e-03       9.378379e-02       1.782820e+00       1.887606e-02       3.370079e-01
        4800       9.713911e-02       9.911359e-03       5.235751e-02       9.870071e-01       2.926425e-02       2.084934e-01
        4900       3.160437e-01       1.629506e-02       1.579609e-01       2.896656e+00       2.249389e-02       5.389291e-01
