#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      2.35e-01    1.67e-01      4.00e-02    3.61e-02      7.38e-03    5.21e-03    5.0e-03
   6000      2.00e-01    1.64e-01      4.18e-02    2.66e-02      6.23e-03    5.14e-03    5.0e-03
   6100      5.24e-01    5.83e-01      6.58e-02    8.19e-02      1.65e-02    1.83e-02    5.0e-03
   6200      4.13e-01    3.71e-01      1.34e-01    1.23e-01      1.26e-02    1.13e-02    5.0e-03
   6300      1.98e-01    1.56e-01      5.43e-02    5.61e-02      6.11e-03    4.71e-03    5.0e-03
   6400      2.25e-01    2.20e-01      1.16e-01    1.24e-01      6.46e-03    6.22e-03    5.0e-03
   6500      2.27e-01    2.39e-01      7.72e-02    8.36e-02      6.90e-03    7.24e-03    5.0e-03
   6600      1.83e-01    2.15e-01      8.04e-02    8.77e-02      5.42e-03    6.44e-03    5.0e-03
   6700      1.94e-01    1.38e-01      5.09e-03    7.06e-04      6.15e-03    4.36e-03    5.0e-03
   6800      1.33e-01    1.59e-01      3.82e-02    4.90e-02      4.09e-03    4.87e-03    5.0e-03
   6900      1.41e-01    1.44e-01      2.73e-02    2.83e-02      4.39e-03    4.50e-03    5.0e-03
   7000      2.31e-01    1.74e-01      2.02e-02    1.97e-02      7.29e-03    5.48e-03    5.0e-03
   7100      2.09e-01    1.24e-01      6.88e-02    6.93e-02      6.38e-03    3.50e-03    5.0e-03
   7200      1.42e-01    1.23e-01      4.79e-02    5.31e-02      4.32e-03    3.64e-03    5.0e-03
   7300      1.44e-01    1.56e-01      5.47e-02    5.48e-02      4.33e-03    4.72e-03    5.0e-03
   7400      1.62e-01    2.34e-01      6.83e-02    5.94e-02      4.81e-03    7.24e-03    5.0e-03
   7500      1.49e-01    1.33e-01      1.85e-02    1.82e-02      4.69e-03    4.17e-03    5.0e-03
   7600      2.04e-01    1.53e-01      3.42e-02    3.94e-02      6.39e-03    4.75e-03    5.0e-03
   7700      3.93e-01    2.87e-01      4.81e-02    5.16e-02      1.24e-02    8.99e-03    5.0e-03
   7800      4.69e-01    5.67e-01      3.45e-03    1.14e-02      1.48e-02    1.79e-02    5.0e-03
   7900      2.79e-01    1.77e-01      2.90e-03    1.30e-03      8.82e-03    5.59e-03    5.0e-03
   8000      2.07e-01    1.92e-01      1.43e-01    1.32e-01      5.46e-03    5.06e-03    5.0e-03
   8100      3.66e-01    2.64e-01      9.92e-02    1.01e-01      1.13e-02    7.96e-03    5.0e-03
   8200      1.63e-01    1.43e-01      1.16e-02    1.11e-02      5.15e-03    4.51e-03    5.0e-03
   8300      1.87e-01    1.50e-01      5.68e-03    6.48e-03      5.91e-03    4.75e-03    5.0e-03
   8400      2.71e-01    1.87e-01      2.95e-02    3.29e-02      8.54e-03    5.84e-03    5.0e-03
   8500      1.70e-01    1.63e-01      4.65e-02    4.17e-02      5.24e-03    5.05e-03    5.0e-03
   8600      1.76e-01    1.38e-01      9.12e-03    9.25e-03      5.56e-03    4.34e-03    5.0e-03
   8700      2.74e-01    2.89e-01      2.30e-02    2.95e-02      8.63e-03    9.10e-03    5.0e-03
